ZONA;ICDO;SEXE;ANY;N01;N02;N03;N04;N05;N06;N07;N08;N09;N10;N11;N12;N13;N14;N15;N16;N17;N18;N21
P4300;1;1;1980;0;0;0;0;0;0;0;0;0;0;3;1;0;1;0;0;1;0;0
P4300;1;1;1981;0;0;0;0;0;0;0;0;1;0;2;1;1;3;4;0;0;0;0
P4300;1;1;1982;0;0;0;0;0;0;0;0;0;2;2;4;1;1;2;3;0;2;0
P4300;1;1;1983;0;0;0;0;0;0;0;0;0;1;3;2;0;5;3;1;3;1;0
P4300;1;1;1984;0;0;0;0;0;0;0;0;1;0;3;1;2;6;3;3;2;1;1
P4300;1;1;1985;0;0;0;0;0;0;0;0;0;1;3;1;5;3;2;1;3;1;0
P4300;1;1;1986;0;0;0;0;0;0;0;0;1;1;2;1;8;2;2;2;3;1;0
P4300;1;1;1987;0;0;0;0;0;0;0;0;0;0;2;4;2;4;3;5;1;1;0
P4300;1;1;1988;0;0;0;0;1;0;0;1;1;0;4;2;5;2;4;1;3;1;1
P4300;1;1;1989;0;0;0;0;0;0;0;0;0;0;4;0;2;3;3;0;1;2;0
P4300;1;1;1990;0;0;0;0;1;0;0;0;2;0;6;4;6;4;5;3;1;0;0
P4300;1;1;1991;0;0;0;0;0;0;0;0;0;3;5;4;5;10;2;3;1;1;0
P4300;1;1;1992;0;0;0;0;0;0;0;0;0;1;0;1;1;4;4;6;3;1;1
P4300;1;1;1993;0;0;0;0;0;0;0;0;0;2;0;1;4;5;5;5;2;1;0
P4300;1;1;1994;0;0;0;0;0;0;1;0;1;1;2;1;1;5;9;2;2;1;0
P4300;1;1;1995;0;0;0;0;0;0;0;0;2;0;0;1;4;6;6;2;5;1;0
P4300;1;1;1996;0;0;0;0;0;0;0;0;1;0;1;3;9;4;7;2;4;2;0
P4300;1;1;1997;0;0;0;0;0;1;0;1;1;0;2;1;2;2;3;4;4;3;0
P4300;1;1;1998;0;0;0;0;0;0;0;0;0;1;0;4;3;1;5;3;1;4;0
P4300;1;1;1999;0;0;0;0;0;0;0;0;0;0;2;1;6;3;1;4;1;2;0
P4300;1;1;2000;0;0;0;0;0;0;0;0;0;0;0;1;0;3;5;5;2;0;0
P4300;1;1;2001;0;0;0;0;0;0;0;0;0;0;0;2;1;7;3;1;2;0;0
P4300;1;1;2002;0;0;0;0;0;0;0;0;0;1;3;0;3;5;2;2;8;2;0
P4300;1;1;2003;0;0;0;0;0;0;0;0;0;0;0;3;2;0;2;1;1;0;0
P4300;1;1;2004;0;0;0;0;0;0;0;0;1;1;0;1;1;0;5;3;1;1;0
P4300;1;1;2005;0;0;0;0;0;0;0;0;0;0;1;0;2;3;3;4;2;1;0
P4300;1;1;2006;0;0;0;0;0;0;0;0;0;1;0;2;2;2;2;5;2;5;0
P4300;1;1;2007;0;0;0;0;0;0;0;0;1;0;1;0;3;3;5;6;4;3;0
P4300;1;1;2008;0;0;0;0;0;0;0;0;0;0;1;2;1;1;6;4;3;1;0
P4300;1;1;2009;0;0;0;0;0;0;0;1;0;0;1;3;4;2;3;3;3;2;0
P4300;1;1;2010;0;0;0;0;0;0;0;0;0;1;0;2;1;0;3;5;2;0;0
P4300;1;1;2011;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;3;2;6;0
P4300;1;2;1981;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
P4300;1;2;1983;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
P4300;1;2;1985;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
P4300;1;2;1986;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;1;0;0;0
P4300;1;2;1988;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;1;1;1
P4300;1;2;1989;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
P4300;1;2;1990;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;1;1;0
P4300;1;2;1992;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
P4300;1;2;1993;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
