"ZONA";"ICDO";"SEXE";"ANY";"M01";"M02";"M03";"M04";"M05";"M06";"M07";"M08";"M09";"M10";"M11";"M12";"M13";"M14";"M15";"M16";"M17";"M18"
"P4300";1;1;1980;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"P4300";1;1;1981;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"P4300";1;1;1982;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1
"P4300";1;1;1983;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
"P4300";1;1;1984;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
"P4300";1;1;1985;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
"P4300";1;1;1986;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"P4300";1;1;1987;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0
"P4300";1;1;1988;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"P4300";1;1;1989;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;1;0
"P4300";1;1;1990;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"P4300";1;1;1991;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"P4300";1;1;1992;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;1
"P4300";1;1;1994;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0
"P4300";1;1;1995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;2
"P4300";1;1;1996;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;0;0
"P4300";1;1;1997;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
"P4300";1;1;1998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"P4300";1;1;1999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"P4300";1;1;2000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"P4300";1;1;2001;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"P4300";1;1;2002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"P4300";1;1;2003;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
"P4300";1;1;2004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"P4300";1;1;2005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"P4300";1;1;2007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"P4300";1;1;2009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
"P4300";1;1;2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"P4300";1;1;2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"P4300";1;2;1988;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"P4300";1;2;1990;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"P4300";1;2;1991;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"P4300";1;2;1996;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"P4300";1;2;2001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"P4300";1;2;2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"P4300";2;1;1980;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
"P4300";2;1;1981;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0
"P4300";2;1;1982;0;0;0;0;0;0;0;0;0;1;1;3;3;0;3;1;0;0
"P4300";2;1;1983;0;0;0;0;0;0;0;0;0;0;2;1;2;2;0;0;0;1
"P4300";2;1;1984;0;0;0;0;0;0;0;0;0;1;0;2;1;1;1;0;0;0
"P4300";2;1;1985;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;0
"P4300";2;1;1986;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;1;0
"P4300";2;1;1987;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0
"P4300";2;1;1988;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"P4300";2;1;1989;0;0;0;0;0;0;0;0;1;0;0;1;3;1;0;0;0;0
"P4300";2;1;1990;0;0;0;0;0;0;0;0;1;1;0;1;1;2;1;1;0;2
"P4300";2;1;1991;0;0;0;0;0;0;1;0;1;0;2;6;0;2;1;1;0;1
"P4300";2;1;1992;0;0;0;0;0;0;0;0;0;0;0;1;0;1;3;1;0;1
"P4300";2;1;1993;0;0;0;0;0;0;0;0;1;0;1;1;2;2;0;0;0;0
"P4300";2;1;1994;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;1;2;2
"P4300";2;1;1995;0;0;0;0;0;0;0;0;0;1;1;2;1;0;0;1;1;0
"P4300";2;1;1996;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;1;0;0
"P4300";2;1;1997;0;0;0;0;0;0;0;0;0;1;0;0;0;1;2;1;0;0
"P4300";2;1;1998;0;0;0;0;0;0;0;0;0;1;2;0;1;0;1;1;1;0
"P4300";2;1;1999;0;0;0;0;0;0;0;0;1;1;2;0;2;0;0;0;0;0
"P4300";2;1;2000;0;0;0;0;0;0;0;1;0;1;1;1;1;2;2;1;0;0
"P4300";2;1;2001;0;0;0;0;0;0;0;0;0;0;1;1;0;1;4;1;1;0
"P4300";2;1;2002;0;0;0;0;0;0;0;0;1;1;1;0;2;2;1;1;1;1
