ZONA;SEXE;ANY;MES;P01;P02;P03;P04;P05;P06;P07;P08;P09;P10;P11;P12;P13;P14;P15;P16;P17;P18
43001;0;1981;J;40,41583904;29,80990197;28,99462136;39,99042266;42,00114993;31,49138912;36,6508971;29,64473162;30,0569804;34,27888345;46,28278271;56,4381577;42,79980735;42,39194669;30,09893189;24,34455964;14,97991162;6,288285958
43001;0;1982;J;40,20224072;32,14990734;28,62521193;38,64944703;41,83400762;32,77584126;35,38054319;32,06824456;30,02070302;34,73549257;44,18376776;53,59897524;45,47611823;40,72780171;32,34172936;24,69028831;15,21338037;6,879537579
43001;0;1983;J;39,41673882;34,40510541;28,61690813;37,06962468;41,32368316;34,15928904;33,70265119;34,35144923;31,72503475;34,15711023;41,77056474;51,23371019;47,08721164;40,36913042;34,10985582;25,30731201;15,41184963;7,20880658
43001;0;1984;J;37,83740936;36,35446349;28,73588239;36,04827756;40,32321785;35,43332567;31,93859658;36,79059682;34,72220956;32,10314926;39,58705206;48,64215416;48,80017923;39,76673943;36,07813997;26,03791622;15,5710755;7,44321299
43001;0;1985;J;36,69874812;37,91460452;28,91680902;34,94897192;38,93736293;36,80835262;30,76616143;38,82220619;36,3414216;31,74102489;37,38083714;45,63018051;50,20556027;39,26215725;38,06755593;26,59984624;15,51762301;8,151992859
43001;0;1986;J;34,96973854;38,80537713;29,60866542;33,63028938;37,53690252;37,15919971;30,49126972;39,52347235;36,4129858;33,03016896;35,73949681;42,49638874;50,12593837;40,7119947;38,40394224;27,59693673;14,98615102;8,884872132
43001;0;1987;J;30,80099352;38,74980781;31,67045197;31,91952026;34,99893609;35,2797393;32,47370669;38,75415675;36,88457413;32,40058663;34,89610976;40,56214103;48,78306036;42,61757844;36,82839276;28,91503758;14,63472559;9,659068754
43001;0;1988;J;26,7644871;38,11186869;34,07544927;30,5456816;32,28820712;33,08263729;34,21777331;37,93022584;37,3197359;33,430551;33,2092466;38,26917449;47,76107942;43,23183592;36,20552981;30,26093351;14,98012092;10,49040918
43001;0;1989;J;23,16002211;36,79771527;36,04573099;29,61628404;30,11115181;30,30998891;35,9402918;36,87443444;37,89980688;35,92873764;30,29386171;36,21735851;46,06251113;44,39420552;35,67661794;31,45894859;15,22928808;10,87489192
43001;0;1990;J;19,87157963;35,51930241;37,4081916;28,56304595;27,83652201;27,66388726;37,77776761;36,38835509;37,80540313;36,61135567;29,17155273;34,45641313;43,82071034;45,26894775;35,34046927;32,59303309;15,22802942;11,47788438
43001;0;1991;J;17,83724893;34,27707645;38,54221917;29,09596767;26,28365843;26,8752558;39,33585772;36,39991164;37,48356681;36,1991922;29,84393617;33,32232622;42,05483793;44,73421598;37,12265733;32,11661331;16,06050649;11,81601205
43001;0;1992;J;18,20489438;32,10274636;40,14450071;32,54879063;26,8600274;29,17768001;40,03675805;36,81773903;39,07872799;36,33860999;29,54997833;33,23627645;41,62482338;44,33949524;39,19570393;30,39293683;18,02193927;11,5963112
43001;0;1993;J;18,65762033;29,81535676;41,29254908;36,01629594;27,71776903;31,56117093;40,21035957;37,15634504;40,85894286;36,1439596;30,60614661;32,11458388;41,0461492;44,01662553;40,03716469;30,03991002;19,90119835;11,7271542
